tdate,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
2012-01-20,0.0,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.0,0.03219441561329443,0.03219441561329443,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.03219441561329443,-0.03219441561329443,0.0,0.0
2012-01-23,0.0,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.0,0.03219441561329443,0.03219441561329443,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.03219441561329443,-0.03219441561329443,0.0,0.0
2012-01-24,0.0,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.0,0.03219441561329443,0.03219441561329443,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.03219441561329443,-0.03219441561329443,0.0,0.0
2012-01-25,0.0,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.0,0.03219441561329443,0.03219441561329443,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.03219441561329443,-0.03219441561329443,0.0,0.0
2012-01-26,0.0,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.0,0.03219441561329443,0.03219441561329443,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.03219441561329443,-0.03219441561329443,0.0,0.0
2012-01-27,0.0,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.0,0.03219441561329443,0.03219441561329443,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.03219441561329443,-0.03219441561329443,0.0,0.0
2012-01-30,0.0,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.0,0.03219441561329443,0.03219441561329443,0.03219441561329443,-0.03219441561329443,-0.03219441561329443,0.03219441561329443,-0.03219441561329443,0.0,0.0
2012-01-31,0.0,0.0360073323379206,-0.0360073323379206,-0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0
2012-02-01,0.0,0.0360073323379206,-0.0360073323379206,-0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0
2012-02-02,0.0,0.0360073323379206,-0.0360073323379206,-0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0
2012-02-03,0.0,0.0360073323379206,-0.0360073323379206,-0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0
2012-02-06,0.0,0.0360073323379206,-0.0360073323379206,-0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0,0.0360073323379206,-0.0360073323379206,0.0360073323379206,0.0
2012-02-07,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-08,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-09,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-10,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-13,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-14,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-15,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-16,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-17,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-20,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-21,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-22,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-23,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-24,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-27,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-28,0.0,0.04031610034329306,-0.04031610034329306,-0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.0,0.04031610034329306,-0.04031610034329306,0.04031610034329306,0.0
2012-02-29,0.0,0.04298004425701834,-0.04298004425701834,-0.04298004425701834,-0.04298004425701834,0.04298004425701834,0.04298004425701834,0.04298004425701834,-0.04298004425701834,0.0,0.04298004425701834,-0.04298004425701834,0.0,0.0
2012-03-01,0.0,0.04298004425701834,-0.04298004425701834,-0.04298004425701834,-0.04298004425701834,0.04298004425701834,0.04298004425701834,0.04298004425701834,-0.04298004425701834,0.0,0.04298004425701834,-0.04298004425701834,0.0,0.0
2012-03-02,0.0,0.04298004425701834,-0.04298004425701834,-0.04298004425701834,-0.04298004425701834,0.04298004425701834,0.04298004425701834,0.04298004425701834,-0.04298004425701834,0.0,0.04298004425701834,-0.04298004425701834,0.0,0.0
2012-03-05,0.0,0.04298004425701834,-0.04298004425701834,-0.04298004425701834,-0.04298004425701834,0.04298004425701834,0.04298004425701834,0.04298004425701834,-0.04298004425701834,0.0,0.04298004425701834,-0.04298004425701834,0.0,0.0
2012-03-06,0.0,0.04869939266646989,-0.04869939266646989,-0.04869939266646989,-0.04869939266646989,0.04869939266646989,0.04869939266646989,0.04869939266646989,-0.04869939266646989,0.0,0.04869939266646989,-0.04869939266646989,0.0,0.0
2012-03-07,0.0,0.04869939266646989,-0.04869939266646989,-0.04869939266646989,-0.04869939266646989,0.04869939266646989,0.04869939266646989,0.04869939266646989,-0.04869939266646989,0.0,0.04869939266646989,-0.04869939266646989,0.0,0.0
2012-03-08,0.0,0.04869939266646989,-0.04869939266646989,-0.04869939266646989,-0.04869939266646989,0.04869939266646989,0.04869939266646989,0.04869939266646989,-0.04869939266646989,0.0,0.04869939266646989,-0.04869939266646989,0.0,0.0
2012-03-09,0.0,0.04869939266646989,-0.04869939266646989,-0.04869939266646989,-0.04869939266646989,0.04869939266646989,0.04869939266646989,0.04869939266646989,-0.04869939266646989,0.0,0.04869939266646989,-0.04869939266646989,0.0,0.0
2012-03-12,0.0,0.04869939266646989,-0.04869939266646989,-0.04869939266646989,-0.04869939266646989,0.04869939266646989,0.04869939266646989,0.04869939266646989,-0.04869939266646989,0.0,0.04869939266646989,-0.04869939266646989,0.0,0.0
2012-03-13,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-14,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-15,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-16,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-19,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-20,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-21,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-22,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-23,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-26,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-27,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-28,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-29,0.0,0.05331026960995881,-0.05331026960995881,-0.05331026960995881,-0.05331026960995881,0.05331026960995881,0.05331026960995881,0.05331026960995881,-0.05331026960995881,0.0,0.05331026960995881,-0.05331026960995881,0.0,0.0
2012-03-30,0.06731753128627854,0.06731753128627854,-0.06731753128627854,-0.06731753128627854,0.0,0.0,0.0,-0.06731753128627854,0.06731753128627854,0.06731753128627854,0.06731753128627854,-0.06731753128627854,-0.06731753128627854,0.0
2012-04-02,0.06731753128627854,0.06731753128627854,-0.06731753128627854,-0.06731753128627854,0.0,0.0,0.0,-0.06731753128627854,0.06731753128627854,0.06731753128627854,0.06731753128627854,-0.06731753128627854,-0.06731753128627854,0.0
2012-04-03,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-04,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-05,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-06,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-09,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-10,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-11,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-12,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-13,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-16,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0,0.0,0.0,-0.07318396958771119,0.07318396958771119,0.07318396958771119,0.07318396958771119,-0.07318396958771119,-0.07318396958771119,0.0
2012-04-17,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0,0.0,0.0,-0.08340126826683722,0.08340126826683722,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0
2012-04-18,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0,0.0,0.0,-0.08340126826683722,0.08340126826683722,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0
2012-04-19,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0,0.0,0.0,-0.08340126826683722,0.08340126826683722,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0
2012-04-20,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0,0.0,0.0,-0.08340126826683722,0.08340126826683722,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0
2012-04-23,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0,0.0,0.0,-0.08340126826683722,0.08340126826683722,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0
2012-04-24,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0,0.0,0.0,-0.08340126826683722,0.08340126826683722,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0
2012-04-25,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0,0.0,0.0,-0.08340126826683722,0.08340126826683722,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0
2012-04-26,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0,0.0,0.0,-0.08340126826683722,0.08340126826683722,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0
2012-04-27,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0,0.0,0.0,-0.08340126826683722,0.08340126826683722,0.08340126826683722,0.08340126826683722,-0.08340126826683722,-0.08340126826683722,0.0
2012-04-30,0.08854500801892719,0.08854500801892719,-0.08854500801892719,0.0,0.0,-0.08854500801892719,0.0,-0.08854500801892719,0.08854500801892719,0.08854500801892719,0.08854500801892719,0.0,-0.08854500801892719,-0.08854500801892719
2012-05-01,0.08854500801892719,0.08854500801892719,-0.08854500801892719,0.0,0.0,-0.08854500801892719,0.0,-0.08854500801892719,0.08854500801892719,0.08854500801892719,0.08854500801892719,0.0,-0.08854500801892719,-0.08854500801892719
2012-05-02,0.08854500801892719,0.08854500801892719,-0.08854500801892719,0.0,0.0,-0.08854500801892719,0.0,-0.08854500801892719,0.08854500801892719,0.08854500801892719,0.08854500801892719,0.0,-0.08854500801892719,-0.08854500801892719
2012-05-03,0.08854500801892719,0.08854500801892719,-0.08854500801892719,0.0,0.0,-0.08854500801892719,0.0,-0.08854500801892719,0.08854500801892719,0.08854500801892719,0.08854500801892719,0.0,-0.08854500801892719,-0.08854500801892719
2012-05-04,0.08854500801892719,0.08854500801892719,-0.08854500801892719,0.0,0.0,-0.08854500801892719,0.0,-0.08854500801892719,0.08854500801892719,0.08854500801892719,0.08854500801892719,0.0,-0.08854500801892719,-0.08854500801892719
2012-05-07,0.08854500801892719,0.08854500801892719,-0.08854500801892719,0.0,0.0,-0.08854500801892719,0.0,-0.08854500801892719,0.08854500801892719,0.08854500801892719,0.08854500801892719,0.0,-0.08854500801892719,-0.08854500801892719
2012-05-08,0.08135575361890901,0.08135575361890901,-0.08135575361890901,0.0,0.0,-0.08135575361890901,0.0,-0.08135575361890901,0.08135575361890901,0.08135575361890901,0.08135575361890901,0.0,-0.08135575361890901,-0.08135575361890901
2012-05-09,0.08135575361890901,0.08135575361890901,-0.08135575361890901,0.0,0.0,-0.08135575361890901,0.0,-0.08135575361890901,0.08135575361890901,0.08135575361890901,0.08135575361890901,0.0,-0.08135575361890901,-0.08135575361890901
2012-05-10,0.08135575361890901,0.08135575361890901,-0.08135575361890901,0.0,0.0,-0.08135575361890901,0.0,-0.08135575361890901,0.08135575361890901,0.08135575361890901,0.08135575361890901,0.0,-0.08135575361890901,-0.08135575361890901
2012-05-11,0.08135575361890901,0.08135575361890901,-0.08135575361890901,0.0,0.0,-0.08135575361890901,0.0,-0.08135575361890901,0.08135575361890901,0.08135575361890901,0.08135575361890901,0.0,-0.08135575361890901,-0.08135575361890901
2012-05-14,0.08135575361890901,0.08135575361890901,-0.08135575361890901,0.0,0.0,-0.08135575361890901,0.0,-0.08135575361890901,0.08135575361890901,0.08135575361890901,0.08135575361890901,0.0,-0.08135575361890901,-0.08135575361890901
2012-05-15,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-16,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-17,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-18,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-21,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-22,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-23,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-24,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-25,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-28,0.07442612950270187,0.07442612950270187,-0.07442612950270187,0.0,0.0,-0.07442612950270187,0.0,-0.07442612950270187,0.07442612950270187,0.07442612950270187,0.07442612950270187,0.0,-0.07442612950270187,-0.07442612950270187
2012-05-29,0.06845383903422998,0.06845383903422998,-0.06845383903422998,0.0,0.0,-0.06845383903422998,0.0,-0.06845383903422998,0.06845383903422998,0.06845383903422998,0.06845383903422998,0.0,-0.06845383903422998,-0.06845383903422998
2012-05-30,0.06845383903422998,0.06845383903422998,-0.06845383903422998,0.0,0.0,-0.06845383903422998,0.0,-0.06845383903422998,0.06845383903422998,0.06845383903422998,0.06845383903422998,0.0,-0.06845383903422998,-0.06845383903422998
2012-05-31,0.07315299679954419,0.07315299679954419,-0.07315299679954419,0.0,0.0,-0.07315299679954419,0.0,-0.07315299679954419,0.07315299679954419,0.07315299679954419,0.07315299679954419,0.0,-0.07315299679954419,-0.07315299679954419
2012-06-01,0.07315299679954419,0.07315299679954419,-0.07315299679954419,0.0,0.0,-0.07315299679954419,0.0,-0.07315299679954419,0.07315299679954419,0.07315299679954419,0.07315299679954419,0.0,-0.07315299679954419,-0.07315299679954419
2012-06-04,0.07315299679954419,0.07315299679954419,-0.07315299679954419,0.0,0.0,-0.07315299679954419,0.0,-0.07315299679954419,0.07315299679954419,0.07315299679954419,0.07315299679954419,0.0,-0.07315299679954419,-0.07315299679954419
2012-06-05,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-06,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-07,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-08,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-11,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-12,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-13,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-14,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-15,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-18,0.06772855892042988,0.06772855892042988,-0.06772855892042988,0.0,0.0,-0.06772855892042988,0.0,-0.06772855892042988,0.06772855892042988,0.06772855892042988,0.06772855892042988,0.0,-0.06772855892042988,-0.06772855892042988
2012-06-19,0.06225967482181557,0.06225967482181557,-0.06225967482181557,0.0,0.0,-0.06225967482181557,0.0,-0.06225967482181557,0.06225967482181557,0.06225967482181557,0.06225967482181557,0.0,-0.06225967482181557,-0.06225967482181557
2012-06-20,0.06225967482181557,0.06225967482181557,-0.06225967482181557,0.0,0.0,-0.06225967482181557,0.0,-0.06225967482181557,0.06225967482181557,0.06225967482181557,0.06225967482181557,0.0,-0.06225967482181557,-0.06225967482181557
2012-06-21,0.06225967482181557,0.06225967482181557,-0.06225967482181557,0.0,0.0,-0.06225967482181557,0.0,-0.06225967482181557,0.06225967482181557,0.06225967482181557,0.06225967482181557,0.0,-0.06225967482181557,-0.06225967482181557
2012-06-22,0.06225967482181557,0.06225967482181557,-0.06225967482181557,0.0,0.0,-0.06225967482181557,0.0,-0.06225967482181557,0.06225967482181557,0.06225967482181557,0.06225967482181557,0.0,-0.06225967482181557,-0.06225967482181557
2012-06-25,0.06225967482181557,0.06225967482181557,-0.06225967482181557,0.0,0.0,-0.06225967482181557,0.0,-0.06225967482181557,0.06225967482181557,0.06225967482181557,0.06225967482181557,0.0,-0.06225967482181557,-0.06225967482181557
2012-06-26,0.06225967482181557,0.06225967482181557,-0.06225967482181557,0.0,0.0,-0.06225967482181557,0.0,-0.06225967482181557,0.06225967482181557,0.06225967482181557,0.06225967482181557,0.0,-0.06225967482181557,-0.06225967482181557
2012-06-27,0.06225967482181557,0.06225967482181557,-0.06225967482181557,0.0,0.0,-0.06225967482181557,0.0,-0.06225967482181557,0.06225967482181557,0.06225967482181557,0.06225967482181557,0.0,-0.06225967482181557,-0.06225967482181557
2012-06-28,0.06225967482181557,0.06225967482181557,-0.06225967482181557,0.0,0.0,-0.06225967482181557,0.0,-0.06225967482181557,0.06225967482181557,0.06225967482181557,0.06225967482181557,0.0,-0.06225967482181557,-0.06225967482181557
2012-06-29,0.0589481981316897,0.0589481981316897,-0.0589481981316897,0.0,0.0,-0.0589481981316897,0.0,-0.0589481981316897,0.0589481981316897,0.0589481981316897,0.0589481981316897,0.0,-0.0589481981316897,-0.0589481981316897
2012-07-02,0.0589481981316897,0.0589481981316897,-0.0589481981316897,0.0,0.0,-0.0589481981316897,0.0,-0.0589481981316897,0.0589481981316897,0.0589481981316897,0.0589481981316897,0.0,-0.0589481981316897,-0.0589481981316897
2012-07-03,0.0589481981316897,0.0589481981316897,-0.0589481981316897,0.0,0.0,-0.0589481981316897,0.0,-0.0589481981316897,0.0589481981316897,0.0589481981316897,0.0589481981316897,0.0,-0.0589481981316897,-0.0589481981316897
