tdate,CAC,AEX,SPX,DAX,HSI,IBEX,NKY,TSX,OMX,SG,SMI,MIB,AS51,FTSE
2005-07-20,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.0,0.07226604974884042,0.0,0.07226604974884042,0.0,0.0,-0.07226604974884042
2005-07-21,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.0,0.07226604974884042,0.0,0.07226604974884042,0.0,0.0,-0.07226604974884042
2005-07-22,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.0,0.07226604974884042,0.0,0.07226604974884042,0.0,0.0,-0.07226604974884042
2005-07-25,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.0,0.07226604974884042,0.0,0.07226604974884042,0.0,0.0,-0.07226604974884042
2005-07-26,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.0,0.07226604974884042,0.0,0.07226604974884042,0.0,0.0,-0.07226604974884042
2005-07-27,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.0,0.07226604974884042,0.0,0.07226604974884042,0.0,0.0,-0.07226604974884042
2005-07-28,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.0,0.07226604974884042,0.0,0.07226604974884042,0.0,0.0,-0.07226604974884042
2005-07-29,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-01,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-02,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-03,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-04,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-05,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-08,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-09,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-10,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-11,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-12,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-15,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-16,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-17,-0.07226604974884042,0.0,-0.07226604974884042,-0.07226604974884042,-0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0,0.0,0.0,0.07226604974884042,0.0
2005-08-18,-0.07009365842812752,0.0,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0
2005-08-19,-0.07009365842812752,0.0,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0
2005-08-22,-0.07009365842812752,0.0,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0
2005-08-23,-0.07009365842812752,0.0,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0
2005-08-24,-0.07009365842812752,0.0,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0
2005-08-25,-0.07009365842812752,0.0,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0
2005-08-26,-0.07009365842812752,0.0,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0
2005-08-29,-0.07009365842812752,0.0,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0
2005-08-30,-0.07009365842812752,0.0,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,0.07009365842812752,0.0
2005-08-31,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-01,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-02,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-05,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-06,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-07,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-08,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-09,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-12,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-13,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-14,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-15,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-16,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-19,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-20,0.0,0.07009365842812752,-0.07009365842812752,-0.07009365842812752,-0.07009365842812752,0.0,0.0,0.07009365842812752,0.0,0.0,0.0,-0.07009365842812752,0.07009365842812752,0.07009365842812752
2005-09-21,0.0,0.06815008812607502,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.0,0.06815008812607502,0.0,0.0,0.0,-0.06815008812607502,0.06815008812607502,0.06815008812607502
2005-09-22,0.0,0.06815008812607502,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.0,0.06815008812607502,0.0,0.0,0.0,-0.06815008812607502,0.06815008812607502,0.06815008812607502
2005-09-23,0.0,0.06815008812607502,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.0,0.06815008812607502,0.0,0.0,0.0,-0.06815008812607502,0.06815008812607502,0.06815008812607502
2005-09-26,0.0,0.06815008812607502,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.0,0.06815008812607502,0.0,0.0,0.0,-0.06815008812607502,0.06815008812607502,0.06815008812607502
2005-09-27,0.0,0.06815008812607502,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.0,0.06815008812607502,0.0,0.0,0.0,-0.06815008812607502,0.06815008812607502,0.06815008812607502
2005-09-28,0.0,0.06815008812607502,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.0,0.06815008812607502,0.0,0.0,0.0,-0.06815008812607502,0.06815008812607502,0.06815008812607502
2005-09-29,0.0,0.06815008812607502,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.0,0.06815008812607502,0.0,0.0,0.0,-0.06815008812607502,0.06815008812607502,0.06815008812607502
2005-09-30,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-03,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-04,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-05,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-06,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-07,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-10,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-11,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-12,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-13,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-14,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-17,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-18,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-19,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-20,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-21,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-24,-0.06815008812607502,0.0,0.0,-0.06815008812607502,-0.06815008812607502,-0.06815008812607502,0.0,0.06815008812607502,0.0,0.0,0.0,0.0,0.06815008812607502,0.06815008812607502
2005-10-25,-0.06624481607816908,0.0,0.0,-0.06624481607816908,-0.06624481607816908,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.0,0.0,0.06624481607816908,0.06624481607816908
2005-10-26,-0.06624481607816908,0.0,0.0,-0.06624481607816908,-0.06624481607816908,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.0,0.0,0.06624481607816908,0.06624481607816908
2005-10-27,-0.06624481607816908,0.0,0.0,-0.06624481607816908,-0.06624481607816908,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.0,0.0,0.06624481607816908,0.06624481607816908
2005-10-28,-0.06624481607816908,0.0,0.0,-0.06624481607816908,-0.06624481607816908,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.0,0.0,0.06624481607816908,0.06624481607816908
2005-10-31,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-01,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-02,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-03,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-04,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-07,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-08,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-09,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-10,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-11,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-14,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-15,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-16,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-17,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-18,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-21,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-22,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-23,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-24,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-25,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-28,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-29,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,-0.06624481607816908,0.06624481607816908,0.0,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,0.06624481607816908
2005-11-30,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-01,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-02,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-05,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-06,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-07,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-08,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06575518415583102,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-09,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06575518415583102,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-12,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06575518415583102,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-13,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06575518415583102,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-14,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06575518415583102,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-15,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06190801713914313,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-16,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06190801713914313,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-19,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06190801713914313,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-20,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06190801713914313,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-21,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06190801713914313,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-22,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06190801713914313,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-23,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06190801713914313,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-26,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.06190801713914313,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-27,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.060093633793332206,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-28,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.060093633793332206,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-29,-0.06624481607816908,0.0,0.06624481607816908,0.0,0.0,-0.06624481607816908,0.060093633793332206,-0.06624481607816908,0.0,0.0,0.0,0.06624481607816908,0.0,0.06624481607816908
2005-12-30,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.060093633793332206,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-02,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.060093633793332206,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-03,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.060093633793332206,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-04,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05794277322929568,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-05,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05794277322929568,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-06,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05794277322929568,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-09,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05794277322929568,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-10,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05794277322929568,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-11,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05794277322929568,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-12,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05794277322929568,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-13,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05794277322929568,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-16,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05794277322929568,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-17,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05478934017562188,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-18,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05283555814546214,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-19,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05283555814546214,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-20,0.0,0.0,0.06624481607816908,0.0,0.0,0.0,0.05283555814546214,0.0,-0.06624481607816908,-0.06624481607816908,0.0,0.0,0.0,0.0
2006-01-23,0.0,0.0,0.06833756226905,0.0,0.0,0.0,0.05450469121274257,0.0,-0.06833756226905,-0.06833756226905,0.0,0.0,0.0,0.0
2006-01-24,0.0,0.0,0.06833756226905,0.0,0.0,0.0,0.05450469121274257,0.0,-0.06833756226905,-0.06833756226905,0.0,0.0,0.0,0.0
2006-01-25,0.0,0.0,0.06833756226905,0.0,0.0,0.0,0.05450469121274257,0.0,-0.06833756226905,-0.06833756226905,0.0,0.0,0.0,0.0
2006-01-26,0.0,0.0,0.06833756226905,0.0,0.0,0.0,0.051902792832762217,0.0,-0.06833756226905,-0.06833756226905,0.0,0.0,0.0,0.0
2006-01-27,0.0,0.0,0.06833756226905,0.0,0.0,0.0,0.051902792832762217,0.0,-0.06833756226905,-0.06833756226905,0.0,0.0,0.0,0.0
2006-01-30,0.0,0.0,0.06833756226905,0.0,0.0,0.0,0.051902792832762217,0.0,-0.06833756226905,-0.06833756226905,0.0,0.0,0.0,0.0
2006-01-31,-0.06833756226905,0.0,0.0,0.06833756226905,0.0,-0.06833756226905,0.051902792832762217,0.06833756226905,0.0,-0.06833756226905,-0.06833756226905,0.0,0.0,0.0
